index,Time,Open,High,Low,Close,Volume,WeekDay,Close_Open_Difference,Weekend_Difference
929,2009-11-28,0.0,0.0,0.0,0.0,0,5,0.0,0.0024100000000000232
931,2009-11-30,1.50094,1.50825,1.4962,1.50094,84006,0,0.0,0.0
932,2009-12-01,1.50064,1.51194,1.49719,1.50891,79076,1,0.00827,0.0
933,2009-12-02,1.50881,1.51096,1.5029,1.50761,80190,2,-0.0012000000000000899,0.0
934,2009-12-03,1.50759,1.51398,1.50344,1.50518,78859,3,-0.0024100000000000232,0.0
935,2009-12-04,1.50521,1.50911,1.48188,1.48547,74249,4,-0.01973999999999987,0.0
936,2009-12-05,0.0,0.0,0.0,0.0,0,5,0.0,-0.0001500000000000945
938,2009-12-07,1.48532,1.49042,1.47535,1.48532,85631,0,0.0,0.0
939,2009-12-08,1.48515,1.48652,1.46699,1.47078,79739,1,-0.014369999999999994,0.0
940,2009-12-09,1.47055,1.47809,1.46717,1.47389,80143,2,0.0033399999999998986,0.0
941,2009-12-10,1.47367,1.47597,1.46827,1.47306,78406,3,-0.0006099999999999994,0.0
942,2009-12-11,1.47294,1.47758,1.45845,1.46112,74637,4,-0.011819999999999942,0.0
943,2009-12-12,0.0,0.0,0.0,0.0,0,5,0.0,0.0011200000000000099
945,2009-12-14,1.46224,1.46848,1.45955,1.46505,84693,0,0.002809999999999979,0.0
946,2009-12-15,1.46518,1.46577,1.45011,1.45379,79767,1,-0.011390000000000011,0.0
947,2009-12-16,1.45331,1.45903,1.45023,1.45218,79604,2,-0.0011300000000000754,0.0
948,2009-12-17,1.45231,1.45242,1.43035,1.43452,80790,3,-0.017789999999999973,0.0
949,2009-12-18,1.43446,1.44105,1.42582,1.43364,75795,4,-0.0008200000000000429,0.0
950,2009-12-19,0.0,0.0,0.0,0.0,0,5,0.0,-0.003270000000000106
952,2009-12-21,1.43037,1.43727,1.42636,1.42897,85680,0,-0.0013999999999998458,0.0
953,2009-12-22,1.42889,1.4332,1.42149,1.42552,80187,1,-0.003370000000000095,0.0
954,2009-12-23,1.42553,1.43646,1.42315,1.43351,81125,2,0.007980000000000098,0.0
955,2009-12-24,1.43334,1.4418,1.43278,1.43577,79264,3,0.002429999999999932,0.0
956,2009-12-25,1.43579,1.44365,1.4357,1.43772,73987,4,0.0019300000000002093,0.0
957,2009-12-26,0.0,0.0,0.0,0.0,0,5,0.0,0.0008699999999999264
959,2009-12-28,1.43859,1.44138,1.43505,1.43613,86515,0,-0.0024600000000001288,0.0
960,2009-12-29,1.43609,1.44572,1.43173,1.43231,80607,1,-0.0037800000000001166,0.0
961,2009-12-30,1.43237,1.43606,1.42694,1.43513,79442,2,0.0027600000000000957,0.0
962,2009-12-31,1.43522,1.444,1.43025,1.43276,79548,3,-0.0024599999999999067,0.0
963,2010-01-01,1.43287,1.43356,1.43181,1.43335,74598,4,0.0004799999999998139,0.0
964,2010-01-02,0.0,0.0,0.0,0.0,0,5,0.0,-0.003109999999999946
966,2010-01-04,1.43024,1.44556,1.42559,1.44172,84421,0,0.011479999999999935,0.0
967,2010-01-05,1.44169,1.44834,1.43323,1.4346,80035,1,-0.007089999999999819,0.0
968,2010-01-06,1.43448,1.44432,1.42807,1.44223,81105,2,0.007749999999999924,0.0
969,2010-01-07,1.44226,1.44267,1.42976,1.43157,80736,3,-0.010690000000000088,0.0
970,2010-01-08,1.43154,1.44382,1.42616,1.44083,74625,4,0.00929000000000002,0.0
971,2010-01-09,0.0,0.0,0.0,0.0,0,5,0.0,0.0018199999999999328
973,2010-01-11,1.44265,1.45539,1.44049,1.44891,85549,0,0.006259999999999932,0.0
974,2010-01-12,1.44874,1.45479,1.44507,1.4468,79343,1,-0.0019399999999998307,0.0
975,2010-01-13,1.44656,1.45797,1.4455,1.45314,80586,2,0.00658000000000003,0.0
976,2010-01-14,1.45275,1.45546,1.4445,1.44728,80124,3,-0.005470000000000086,0.0
977,2010-01-15,1.44719,1.44777,1.43347,1.43849,74643,4,-0.00869999999999993,0.0
978,2010-01-16,0.0,0.0,0.0,0.0,0,5,0.0,-0.003190000000000026
980,2010-01-18,1.4353,1.44118,1.43325,1.44002,86527,0,0.0047200000000000575,0.0
981,2010-01-19,1.43989,1.44124,1.42498,1.42858,79141,1,-0.011309999999999931,0.0
982,2010-01-20,1.42859,1.42867,1.4078,1.41176,80083,2,-0.016830000000000123,0.0
983,2010-01-21,1.41154,1.41422,1.40247,1.41051,78872,3,-0.0010300000000000864,0.0
984,2010-01-22,1.4106,1.41805,1.40875,1.41361,74624,4,0.003009999999999957,0.0
985,2010-01-23,0.0,0.0,0.0,0.0,0,5,0.0,0.0019599999999999618
987,2010-01-25,1.41557,1.41939,1.41248,1.41628,84262,0,0.0007099999999999884,0.0
988,2010-01-26,1.41636,1.4178,1.40397,1.40696,79234,1,-0.009400000000000075,0.0
989,2010-01-27,1.40681,1.40957,1.39903,1.40036,79682,2,-0.006449999999999845,0.0
990,2010-01-28,1.40026,1.40516,1.39172,1.3931,79567,3,-0.007160000000000055,0.0
991,2010-01-29,1.39291,1.39861,1.38589,1.38605,72991,4,-0.006860000000000088,0.0
992,2010-01-30,0.0,0.0,0.0,0.0,0,5,0.0,2.999999999997449e-05
994,2010-02-01,1.38608,1.39366,1.38501,1.3924,85788,0,0.006320000000000103,0.0
995,2010-02-02,1.39239,1.39759,1.3883,1.39613,79933,1,0.0037400000000000766,0.0
996,2010-02-03,1.39631,1.40247,1.38773,1.38798,80188,2,-0.008329999999999949,0.0
997,2010-02-04,1.38781,1.38964,1.36919,1.3703,79924,3,-0.017509999999999915,0.0
998,2010-02-05,1.37053,1.37412,1.35816,1.36763,74293,4,-0.0029000000000001247,0.0
999,2010-02-06,0.0,0.0,0.0,0.0,0,5,0.0,-0.0020999999999999908
1001,2010-02-08,1.36553,1.37128,1.36195,1.36512,86181,0,-0.00041000000000002146,0.0
1002,2010-02-09,1.36497,1.38385,1.36456,1.37913,78942,1,0.01415999999999995,0.0
1003,2010-02-10,1.37897,1.38112,1.36747,1.37672,80692,2,-0.0022500000000000853,0.0
1004,2010-02-11,1.37664,1.37999,1.3593,1.3661,79965,3,-0.010539999999999994,0.0
1005,2010-02-12,1.36608,1.36873,1.35276,1.36305,74172,4,-0.003029999999999866,0.0
1006,2010-02-13,0.0,0.0,0.0,0.0,0,5,0.0,-0.0006500000000000394
1008,2010-02-15,1.3624,1.36323,1.35767,1.36048,84483,0,-0.0019200000000001438,0.0
1009,2010-02-16,1.36053,1.37778,1.3601,1.37664,80757,1,0.01611000000000007,0.0
1010,2010-02-17,1.37661,1.37892,1.35618,1.35734,80384,2,-0.0192699999999999,0.0
1011,2010-02-18,1.35736,1.36529,1.34431,1.34903,81197,3,-0.008329999999999949,0.0
1012,2010-02-19,1.34883,1.36172,1.34525,1.36082,75091,4,0.011989999999999945,0.0
1013,2010-02-20,0.0,0.0,0.0,0.0,0,5,0.0,0.0024800000000000377
1015,2010-02-22,1.3633,1.36534,1.35723,1.36024,85740,0,-0.0030600000000000627,0.0
1016,2010-02-23,1.36001,1.36917,1.3495,1.35134,80446,1,-0.008669999999999956,0.0
1017,2010-02-24,1.35158,1.36253,1.35113,1.35124,80271,2,-0.00034000000000000696,0.0
1018,2010-02-25,1.35123,1.35696,1.34484,1.35468,81379,3,0.003450000000000175,0.0
1019,2010-02-26,1.35446,1.36825,1.35433,1.3628,74021,4,0.008340000000000014,0.0
1020,2010-02-27,0.0,0.0,0.0,0.0,0,5,0.0,-0.0007300000000001194
1022,2010-03-01,1.36207,1.36538,1.34589,1.35333,86864,0,-0.00873999999999997,0.0
1023,2010-03-02,1.35327,1.36507,1.34345,1.36203,80041,1,0.008760000000000101,0.0
1024,2010-03-03,1.36192,1.37356,1.35898,1.36914,80450,2,0.007220000000000004,0.0
1025,2010-03-04,1.369,1.37108,1.35504,1.35807,80182,3,-0.010929999999999884,0.0
1026,2010-03-05,1.35802,1.36297,1.35288,1.36222,73779,4,0.0041999999999999815,0.0
1027,2010-03-06,0.0,0.0,0.0,0.0,0,5,0.0,0.0009399999999999409
1029,2010-03-08,1.36316,1.37038,1.36038,1.36229,84126,0,-0.0008699999999999264,0.0
1030,2010-03-09,1.36212,1.36348,1.35337,1.35948,79293,1,-0.0026399999999999757,0.0
1031,2010-03-10,1.35941,1.36795,1.35416,1.36298,80070,2,0.003570000000000073,0.0
1032,2010-03-11,1.36279,1.36881,1.36175,1.36805,79912,3,0.005260000000000042,0.0
1033,2010-03-12,1.36809,1.37981,1.36671,1.37653,74385,4,0.008440000000000003,0.0
1034,2010-03-13,0.0,0.0,0.0,0.0,0,5,0.0,0.00045999999999990493
1036,2010-03-15,1.37699,1.37778,1.36382,1.3672,88143,0,-0.009789999999999965,0.0
1037,2010-03-16,1.36703,1.37808,1.36549,1.37651,79969,1,0.009479999999999933,0.0
1038,2010-03-17,1.37634,1.38171,1.37092,1.37231,79677,2,-0.004029999999999978,0.0
1039,2010-03-18,1.3722,1.37282,1.35826,1.36169,79940,3,-0.01051000000000002,0.0
1040,2010-03-19,1.36148,1.36269,1.34997,1.35287,72288,4,-0.008610000000000007,0.0
1041,2010-03-20,0.0,0.0,0.0,0.0,0,5,0.0,0.0005299999999999194
1043,2010-03-22,1.3534,1.35679,1.34606,1.35453,88508,0,0.0011300000000000754,0.0
1044,2010-03-23,1.35457,1.35624,1.34584,1.347,80445,1,-0.007570000000000077,0.0
1045,2010-03-24,1.34727,1.34727,1.33017,1.3335,79483,2,-0.01377000000000006,0.0
1046,2010-03-25,1.33332,1.33881,1.32658,1.33078,79672,3,-0.0025399999999999867,0.0
1047,2010-03-26,1.33047,1.34246,1.33022,1.34081,71440,4,0.010340000000000016,0.0
1048,2010-03-27,0.0,0.0,0.0,0.0,0,5,0.0,0.0006599999999998829
1050,2010-03-29,1.34147,1.35051,1.34147,1.34736,88960,0,0.005889999999999951,0.0
1051,2010-03-30,1.34712,1.35348,1.33931,1.34158,79268,1,-0.0055400000000001,0.0
1052,2010-03-31,1.34157,1.356,1.33819,1.35283,79135,2,0.011260000000000048,0.0
1053,2010-04-01,1.35289,1.35904,1.34575,1.35677,79408,3,0.0038800000000001056,0.0
1054,2010-04-02,1.35685,1.35822,1.34713,1.35012,71078,4,-0.006729999999999903,0.0
1055,2010-04-03,0.0,0.0,0.0,0.0,0,5,0.0,-0.00042000000000008697
1057,2010-04-05,1.3497,1.3538,1.34403,1.34415,87825,0,-0.005549999999999944,0.0
1058,2010-04-06,1.34427,1.34479,1.33536,1.3374,79408,1,-0.006870000000000154,0.0
1059,2010-04-07,1.33747,1.34018,1.33201,1.33295,80076,2,-0.0045199999999998575,0.0
1060,2010-04-08,1.33349,1.33815,1.32786,1.33602,79781,3,0.002529999999999921,0.0
1061,2010-04-09,1.33584,1.34989,1.33363,1.34965,71298,4,0.0138100000000001,0.0
1062,2010-04-10,0.0,0.0,0.0,0.0,0,5,0.0,0.003249999999999975
1064,2010-04-12,1.3529,1.36905,1.3529,1.3572,87614,0,0.0042999999999999705,0.0
1065,2010-04-13,1.35709,1.36442,1.35437,1.36402,79771,1,0.006930000000000103,0.0
1066,2010-04-14,1.36392,1.36794,1.35929,1.36482,79771,2,0.0008999999999999009,0.0
1067,2010-04-15,1.36513,1.36575,1.35169,1.35391,79648,3,-0.011220000000000008,0.0
1068,2010-04-16,1.35399,1.35629,1.34703,1.35013,70920,4,-0.0038599999999999746,0.0
1069,2010-04-17,0.0,0.0,0.0,0.0,0,5,0.0,-0.0004300000000001525
1071,2010-04-19,1.3497,1.34987,1.34124,1.34922,87875,0,-0.0004799999999998139,0.0
1072,2010-04-20,1.34923,1.35222,1.34021,1.34131,80362,1,-0.007919999999999927,0.0
1073,2010-04-21,1.34131,1.34495,1.33561,1.33865,79584,2,-0.0026600000000001067,0.0
1074,2010-04-22,1.33881,1.34209,1.32014,1.32275,79104,3,-0.016059999999999963,0.0
1075,2010-04-23,1.32281,1.33995,1.3202,1.33818,70095,4,0.015369999999999884,0.0
1076,2010-04-24,0.0,0.0,0.0,0.0,0,5,0.0,-0.0004499999999998394
1078,2010-04-26,1.33773,1.34131,1.32892,1.3375,88025,0,-0.0002300000000001745,0.0
1079,2010-04-27,1.33749,1.33873,1.31419,1.31676,79217,1,-0.020730000000000137,0.0
1080,2010-04-28,1.31689,1.32654,1.31117,1.31894,79785,2,0.0020500000000001073,0.0
1081,2010-04-29,1.31918,1.32773,1.31819,1.32342,80529,3,0.0042400000000000215,0.0
1082,2010-04-30,1.32333,1.33418,1.32222,1.32936,71353,4,0.006030000000000202,0.0
1083,2010-05-01,0.0,0.0,0.0,0.0,0,5,0.0,0.0003799999999998249
1085,2010-05-03,1.32974,1.33586,1.31498,1.3206,88769,0,-0.009139999999999926,0.0
1086,2010-05-04,1.32052,1.3213,1.29505,1.29506,79871,1,-0.025459999999999816,0.0
1087,2010-05-05,1.29455,1.29952,1.27847,1.28365,80852,2,-0.010900000000000132,0.0
1088,2010-05-06,1.28335,1.28539,1.25187,1.2612,80791,3,-0.022149999999999892,0.0
1089,2010-05-07,1.26129,1.27974,1.26053,1.27476,71910,4,0.013469999999999871,0.0
1090,2010-05-08,0.0,0.0,0.0,0.0,0,5,0.0,0.003230000000000066
1092,2010-05-10,1.27799,1.30918,1.27206,1.27664,89039,0,-0.0013499999999999623,0.0
1093,2010-05-11,1.27704,1.27996,1.26141,1.26272,79697,1,-0.014319999999999888,0.0
1094,2010-05-12,1.26262,1.27395,1.26032,1.26327,80633,2,0.0006499999999998174,0.0
1095,2010-05-13,1.26315,1.26833,1.25135,1.25239,79796,3,-0.010760000000000103,0.0
1096,2010-05-14,1.25217,1.25756,1.23522,1.23583,71084,4,-0.01634000000000002,0.0
1097,2010-05-15,0.0,0.0,0.0,0.0,0,5,0.0,-0.00045999999999990493
1099,2010-05-17,1.23537,1.24134,1.22373,1.2341,88649,0,-0.0012700000000001044,0.0
1100,2010-05-18,1.23402,1.24436,1.21429,1.21624,80322,1,-0.017779999999999907,0.0
1101,2010-05-19,1.21636,1.24304,1.21485,1.23525,80082,2,0.01888999999999985,0.0
1102,2010-05-20,1.23521,1.25969,1.22951,1.2521,79952,3,0.01689000000000007,0.0
1103,2010-05-21,1.2525,1.26704,1.24689,1.25688,71429,4,0.0043800000000000505,0.0
1104,2010-05-22,0.0,0.0,0.0,0.0,0,5,0.0,-0.00021000000000004349
1106,2010-05-24,1.25667,1.25667,1.22883,1.23012,88176,0,-0.02654999999999985,0.0
1107,2010-05-25,1.22976,1.2387,1.21747,1.23111,80198,1,0.0013499999999999623,0.0
1108,2010-05-26,1.23107,1.23433,1.21498,1.21965,80545,2,-0.011420000000000208,0.0
1109,2010-05-27,1.21959,1.23936,1.21813,1.23195,80174,3,0.012360000000000149,0.0
1110,2010-05-28,1.23181,1.24518,1.22614,1.22697,72061,4,-0.0048400000000001775,0.0
1111,2010-05-29,0.0,0.0,0.0,0.0,0,5,0.0,0.0005100000000000104
1113,2010-05-31,1.22748,1.23335,1.22447,1.22553,87702,0,-0.0019499999999998963,0.0
1114,2010-06-01,1.22562,1.23521,1.2108,1.22517,80638,1,-0.0004499999999998394,0.0
1115,2010-06-02,1.22516,1.22803,1.21741,1.22766,81009,2,0.0024999999999999467,0.0
1116,2010-06-03,1.22757,1.23263,1.21492,1.21689,79509,3,-0.010680000000000023,0.0
1117,2010-06-04,1.21672,1.22146,1.19536,1.19637,71910,4,-0.02035000000000009,0.0
1118,2010-06-05,0.0,0.0,0.0,0.0,0,5,0.0,-0.00034999999999985043
1120,2010-06-07,1.19602,1.19908,1.18746,1.19392,88694,0,-0.0020999999999999908,0.0
1121,2010-06-08,1.19413,1.20093,1.18989,1.19352,80659,1,-0.0006099999999999994,0.0
1122,2010-06-09,1.19373,1.20728,1.19198,1.1959,79368,2,0.0021700000000000053,0.0
1123,2010-06-10,1.19561,1.21439,1.19543,1.21155,79856,3,0.015939999999999843,0.0
1124,2010-06-11,1.21152,1.21526,1.2044,1.21095,71873,4,-0.0005699999999999594,0.0
1125,2010-06-12,0.0,0.0,0.0,0.0,0,5,0.0,0.0006200000000000649
1127,2010-06-14,1.21157,1.22997,1.2112,1.2225,88962,0,0.010929999999999884,0.0
1128,2010-06-15,1.22254,1.23494,1.21628,1.23101,81516,1,0.008469999999999978,0.0
1129,2010-06-16,1.2311,1.23517,1.22518,1.2278,80645,2,-0.0033000000000000806,0.0
1130,2010-06-17,1.22742,1.24141,1.22393,1.23785,79612,3,0.01042999999999994,0.0
1131,2010-06-18,1.23802,1.24153,1.23504,1.23882,71765,4,0.0008000000000001339,0.0
1132,2010-06-19,0.0,0.0,0.0,0.0,0,5,0.0,0.0006999999999999229
